epoch,SPD_gender,EOD_gender,AOD_gender,DI_gender,DcI_gender,SPD_race,EOD_race,AOD_race,DI_race,DcI_race,SPD_age,EOD_age,AOD_age,DI_age,DcI_age,Accuracy,F1_score,Precision,Recall
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7543160690571049,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7543160690571049,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7543160690571049,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7543160690571049,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7543160690571049,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7543160690571049,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7543160690571049,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7543160690571049,0.0,0.0,0.0
9,-0.0002313030069390902,-0.0008907363420427554,0.0004453681710213777,0.0,0.0017798872738059924,-0.00030747155888080353,-0.0009331259720062209,0.00046656298600311044,0.0,0.0018645121193287756,-0.0002956538878486252,-0.0009545020680878142,0.0004772510340439071,0.0,0.0019071837253655435,0.7545152722443559,0.0016203078584931135,1.0,0.0008108108108108108
10,-0.003669122339738742,-0.010306069885241678,0.005413397367115736,0.2068580542264753,0.020112633542716203,-0.0034437819593145305,0.005999583139600135,0.0033819377024812045,0.35382729659554096,0.011631466176920725,-0.005203901588236477,-0.011795040816244927,0.006254459300184143,0.10501712854516036,0.023014633711073432,0.7577689243027889,0.030303030303030307,0.9193548387096774,0.015405405405405406
11,-0.003787171721270654,0.003824084938328136,0.002512860605507013,0.6388263439347031,0.007222134241296488,-0.011298695583462602,-0.012582770839011725,0.007306698042009951,0.1894016705305543,0.023524219432598414,-0.010553393509467414,-0.016636097086169657,0.009230684586295609,0.2126082063193688,0.031161523017835202,0.7618857901726428,0.06857142857142859,0.88,0.03567567567567568
12,-0.012526883902122308,-0.026883066708639783,0.013894072275984628,0.4566097518042598,0.047396307577585395,-0.024749692079090828,-0.02776931586795145,0.016477636039239043,0.1758268067723917,0.047916097096916854,-0.020155435031758172,-0.017227876944062526,0.010796149450514502,0.27732438421466377,0.029321991493620247,0.7701859229747676,0.13926883859736386,0.8722741433021807,0.07567567567567568
13,-0.018890114471009654,-0.0428698165583951,0.021895385440881016,0.46270880550658944,0.07154697395797607,-0.03566720332942086,-0.031909060300460146,0.019633634507565292,0.20907976617009238,0.0514721863533503,-0.03167502440363176,-0.037363814946554164,0.02178934076995289,0.26113454569275507,0.060405455269493646,0.7779548472775565,0.20190930787589498,0.863265306122449,0.11432432432432432
