epoch,SPD_gender,EOD_gender,AOD_gender,DI_gender,DcI_gender,SPD_race,EOD_race,AOD_race,DI_race,DcI_race,SPD_age,EOD_age,AOD_age,DI_age,DcI_age,Accuracy,F1_score,Precision,Recall
1,0.07142178016550635,0.19590336134453784,0.1348705859285405,2.003311489609536,0.06991565545471762,0.0028874317914464875,0.06816728266650507,0.040067713257773196,1.0364285865786251,0.09868369821373679,-0.03950136159098652,0.06708592904911923,0.047628012009774345,0.6219833641977949,0.10934473464964112,0.883758227805807,0.19036537118920174,0.16921803889118742,0.2175531914893617
2,0.02883216305249306,0.21925500969618614,0.12362596599197612,2.163975080988341,0.0493204918344817,-0.0027726114589761777,0.040841125899595404,0.022966903579011454,0.9077946977248775,0.03636997590972482,-0.017000881880842523,0.084243314304664,0.04575038633677408,0.5624104907265037,0.004300654333529552,0.9263924621604464,0.1951041286079649,0.3115519253208868,0.14202127659574468
3,0.018325040200718186,0.19497414350355524,0.10620346502987568,2.2564772273074443,0.09975096634226086,-0.0034868985529454607,0.03377564141403941,0.018764839734621695,0.8149764455343315,0.006482142857142853,-0.014000888370395056,0.0512510757909531,0.0275984599697107,0.44995852036964423,0.013026376490202912,0.9352467506431889,0.18912133891213387,0.44313725490196076,0.1202127659574468
4,0.011427213945506635,0.1711376858435682,0.09091153577130702,2.1134230490212067,0.13336594476808825,-0.005054164792788109,0.025377173671561004,0.013563888949993162,0.6492944208927366,0.008535720559245868,-0.012140830850241528,0.045072680042005195,0.023889418735781393,0.36404411033142736,0.035586214448003056,0.9388218784456547,0.1800268696820421,0.5694050991501416,0.10691489361702128
5,0.008364181154806766,0.1627747252747253,0.08528267581688471,1.8957968891333958,0.14778566185466108,-0.005628199387188505,0.020402049293451546,0.010893361673556272,0.5791098354648099,0.008206249957008305,-0.01116019614984438,0.04635968132900649,0.024003548704859108,0.3498233043044319,0.04376439273466545,0.9400247251829329,0.18148654810761514,0.6357827476038339,0.10585106382978723
6,0.009364391837871428,0.16447155785391082,0.08659460746344377,2.0598528718513176,0.14626263719904184,-0.005936604654029348,0.016103514901810292,0.008622530279785498,0.5490367633073391,0.004222303091379026,-0.011075133664996952,0.040868212647353755,0.021178553337118985,0.338648393194707,0.03810249469836638,0.9401917872297771,0.17965169569202566,0.6490066225165563,0.10425531914893617
7,0.00861940182285581,0.15667420814479638,0.08241072384112373,2.0342484094665596,0.1447804659498208,-0.005760010267298515,0.01813328486121489,0.009642575255942792,0.5381431767337808,0.009654948816851527,-0.011379262773611102,0.03908772927177835,0.02048367901617881,0.30306392151160305,0.04166511672763096,0.9405927361422032,0.17837338262476896,0.6795774647887324,0.1026595744680851
8,0.007218496999598815,0.1443519715578539,0.07577806137616296,1.8504045692527367,0.13653923541247484,-0.00635981683975027,0.01158618275335098,0.0063137114947192305,0.5011345845211106,0.0007205804996505139,-0.01101687200793338,0.039581211360352475,0.02036521269711538,0.314716133381519,0.040569606170733546,0.9409602726452605,0.18307905686546463,0.6996466431095406,0.10531914893617021
9,0.007025580879527822,0.14152391725921137,0.0743640342268417,1.8092844677137871,0.13195326499892482,-0.006973882058629121,0.008203232821009973,0.004478794763864714,0.473015498679612,0.003767871272803258,-0.011296197432261897,0.043785678755003915,0.022543886792732393,0.31168119421681717,0.04659466848940533,0.9411273346921046,0.18726937269372693,0.7048611111111112,0.10797872340425532
10,0.007043395920882671,0.14762443438914027,0.07739358885805873,1.7902629241447492,0.13709127290918185,-0.007458881712200797,0.004143692902200777,0.00241042966744738,0.45629272852427216,0.010142002381852006,-0.011603655113373088,0.04363566020007739,0.022440564944487703,0.3105350596068916,0.04509564509564512,0.9412943967389489,0.19218390804597701,0.7084745762711865,0.11117021276595744
11,0.0063518510299315975,0.13643341952165483,0.07164913948082251,1.697573199126132,0.1257140890632528,-0.008068194048937284,-0.0010502292327267543,0.0007202560680263561,0.42917527103768716,0.017121514326262882,-0.011576188571089822,0.052838114187807456,0.027118232336644028,0.31557217770036766,0.05833486273197386,0.9413946339670554,0.19467401285583105,0.7114093959731543,0.1127659574468085
12,0.005888852341761213,0.13134292178409826,0.069041778810802,1.6154325604587383,0.11788451012588946,-0.008765803579039187,-0.00397538693541763,0.0020670495083335845,0.41154956718012753,0.021622944994241833,-0.01188431196670042,0.058179564314533624,0.029780460085954127,0.32088833579759274,0.06347759899362515,0.9415951084232684,0.20182648401826483,0.7129032258064516,0.1175531914893617
13,0.005197307450810141,0.12964608920491272,0.06789547863422221,1.5324261443086846,0.11900049480455221,-0.00910747902087659,-0.006005156894822228,0.0030102136056938773,0.3997797045282565,0.024298097211397696,-0.01199617527933171,0.06367103299618637,0.032602634825071794,0.3209937376253147,0.07131397103598003,0.9416953456513749,0.20428636570907435,0.7156549520766773,0.11914893617021277
14,0.004870826617341704,0.1279492566257272,0.06693952826863078,1.4950669971304402,0.11806332440096781,-0.009176764685672543,-0.008034926854226826,0.004102288859421649,0.3979625240531281,0.02770811960940761,-0.012079906335180324,0.06545151637176176,0.033473061256131045,0.3194796162214217,0.07382965887321263,0.9418624076982192,0.20692798541476756,0.7229299363057324,0.12074468085106382
15,0.004351429663802274,0.12398998060762767,0.06483165224983492,1.4304593665130814,0.11370617212402209,-0.00972629712189781,-0.01277105675950424,0.0064372280667310865,0.3815874609676164,0.034669273378950816,-0.012582292670272008,0.06465799717333459,0.03310461422769889,0.3106865992611991,0.07238243918904669,0.9421297069731699,0.21272727272727274,0.73125,0.12446808510638298
16,0.004945039924065598,0.13065610859728505,0.06842119226415579,1.4818253562102714,0.11622646227996886,-0.010345115222919025,-0.019318158867368165,0.009684570020730589,0.36463383824514767,0.04431697592357561,-0.01316841006121231,0.05772950864975404,0.029660185222637053,0.3010207939508507,0.06174580910203678,0.9422299442012764,0.21658359764386045,0.7308868501529052,0.1271276595744681
17,0.004348476522497771,0.12669683257918551,0.06627190837786512,1.40983205276399,0.11216974581383968,-0.010631763646387573,-0.020890136597122633,0.01045270345684408,0.36328529166675594,0.04720955544296193,-0.013559598798172114,0.05693598945132687,0.029235113052642044,0.2989511322659327,0.05912318415738391,0.9424304186574894,0.2221218961625282,0.7343283582089553,0.13085106382978723
18,0.004633420990647506,0.13336296056884295,0.06969581692220671,1.4184285896710873,0.11537017726798751,-0.011671048618326877,-0.021108934353940734,0.011004504271156974,0.34199904410815696,0.04577798861480076,-0.014397575071157666,0.06114045684597831,0.03174218462677513,0.2923858474286585,0.06455974224425884,0.9422633566106452,0.2251121076233184,0.7171428571428572,0.13351063829787235
19,0.0041911904851364735,0.13110051712992893,0.0684156532592562,1.3720112157320792,0.113915857605178,-0.011948191277510694,-0.020651142124290603,0.010847329038673914,0.3367375203526468,0.044656446044767845,-0.014871829149466675,0.05856645427197574,0.030531623738065138,0.2838134857577399,0.06135158465902085,0.9423970062481205,0.2282900626678603,0.7203389830508474,0.1356382978723404
20,0.0036896085729518913,0.12487879767291535,0.06526338566325458,1.313532049159892,0.10467920887602505,-0.012715086472408547,-0.028093631975440805,0.014574043355932483,0.3253057240578214,0.055983903420523146,-0.015821003020584107,0.051487947193468664,0.02701218545554004,0.27326831125063084,0.05001387718311012,0.9426977179324401,0.23676012461059193,0.7247956403269755,0.14148936170212767
21,0.003573858900909296,0.12318196509372983,0.06441496937366183,1.3007379058239192,0.1021194605009634,-0.01292294346679641,-0.030123401934845404,0.015588928335634782,0.32175693434082697,0.05898023623773446,-0.015932866333215393,0.05326843056904407,0.027902427143327743,0.27371670756644484,0.0520311009155687,0.9427979551605467,0.23911111111111114,0.727027027027027,0.14308510638297872
22,0.0033809427808383016,0.11978829993535878,0.06273884072822371,1.2799593450280098,0.09690853756206949,-0.013001734895877094,-0.027854637502608734,0.01441595098250371,0.3249854685172874,0.05586343529884366,-0.016351521612458463,0.049407426708040214,0.025923797385315948,0.26859092652587474,0.04607029611015365,0.9430318420261286,0.2439024390243902,0.7333333333333333,0.14627659574468085
23,0.0029001290513130714,0.11696024563671625,0.06117587163540895,1.2356286669339567,0.09472346012059232,-0.013214344772407322,-0.024909283083903888,0.013014994655493294,0.3236785882973231,0.051090909090909103,-0.016909506746616093,0.046189923490536994,0.024391486174855634,0.2602555345244103,0.04201792208481703,0.9431989040729727,0.24778761061946902,0.7368421052631579,0.14893617021276595
24,0.0023807320977736416,0.11300096961861669,0.05906799561661308,1.1892755046322,0.09079096421669886,-0.013362421866283962,-0.023317108638135436,0.01218031229559633,0.3256649133004321,0.04903289336983124,-0.017690552791536883,0.04168541898603248,0.022243986891676094,0.24812002850774012,0.03674111912604236,0.9434662033479234,0.25330979699911743,0.7435233160621761,0.15265957446808512
25,0.0017455854721916148,0.11017291531997417,0.05742221078880867,1.1346490603222092,0.08918128654970764,-0.014119811296897086,-0.026700058570476443,0.014097888692159787,0.3115160930806904,0.052751318107865375,-0.01830480243925986,0.04217890107460662,0.02268323924600263,0.24354928881633045,0.03744398223508369,0.9434996157572922,0.2567032967032967,0.739240506329114,0.15531914893617021
26,0.0013419381906947803,0.10791047188106015,0.056162751059605574,1.1022951589012568,0.08785578747628092,-0.014595305186184031,-0.02940641851634923,0.015555915292767456,0.3001526918531757,0.05563009098579391,-0.018695325461720258,0.03960489850060403,0.021424550529782763,0.23795811607738898,0.03431915051309142,0.9436666778041365,0.2598770851624232,0.7437185929648241,0.1574468085106383
27,0.0011490220706237876,0.10621363930187461,0.05527292690251798,1.0863198667432676,0.08561565657971665,-0.0149417335101638,-0.03143618847575386,0.016647990546495243,0.2952482361039408,0.05823081139858188,-0.018695991176219662,0.041385381876179406,0.022258167076007595,0.24309755044884254,0.03504946003942844,0.9437000902135053,0.2619360490582566,0.7419354838709677,0.15904255319148936
28,0.0014933179454470723,0.114010989010989,0.05925843189932643,1.110899181977356,0.0918698025947205,-0.014955992156590896,-0.030301806259635522,0.01605314308479027,0.30142448286059415,0.05731745653089934,-0.019059047656396797,0.04316586525175484,0.02329279224632491,0.24125931279884352,0.03751069449094224,0.9437000902135053,0.2638706858890345,0.7383863080684596,0.16063829787234044
29,0.0010896706639502377,0.11287976729153198,0.05852317516235702,1.0800059044426693,0.09250849897019775,-0.015163849150978756,-0.03165498623257193,0.016768328208271212,0.29852617052539615,0.05908878452669766,-0.019449570678857192,0.04187886396475354,0.022773859828625422,0.23590058349476495,0.0365885720238302,0.9437335026228741,0.26527050610820246,0.7378640776699029,0.16170212765957448
30,0.0011846521533334826,0.12011150614091792,0.06211834065330257,1.0860050826613368,0.09975923392612862,-0.015242640580059443,-0.031197194002921785,0.01650630634811687,0.30159672542222876,0.05887091776662326,-0.019868225958100262,0.043015846696828286,0.023466919420463955,0.23208342194954223,0.038669605289521125,0.9438337398509806,0.26817588158467565,0.7386091127098321,0.16382978723404254
31,0.0013182168667309271,0.1178490627020039,0.06113606087733907,1.0949042909775895,0.09428375852927118,-0.01551978323924326,-0.03073940177327167,0.016349131115633818,0.29781494830094685,0.057615867716034636,-0.02006382032658017,0.044152829428903057,0.02403541078650134,0.23198010846042647,0.03978268100676352,0.943967389488456,0.27118644067796605,0.7410926365795725,0.16595744680851063
32,0.0010689024812908874,0.1178490627020039,0.06100782286759298,1.0769550403058257,0.09636737191816758,-0.015450497574447303,-0.03073940177327167,0.01631053597862108,0.298751473295604,0.05777388906564854,-0.020119419125646108,0.044152829428903057,0.024063723357282765,0.22985185058464275,0.04048187058248259,0.9440008018978249,0.2713043478260869,0.7428571428571429,0.16595744680851063
33,0.0010303192572766896,0.1172834518422754,0.06072501743772873,1.0739717853465298,0.09555201153505855,-0.01551978323924326,-0.031415991759739886,0.01664883097185519,0.29781494830094685,0.058728833770570005,-0.02020315018149472,0.043509328785402396,0.023741973035532434,0.22911749962430844,0.03955185751063217,0.9440342143071937,0.2720556279878314,0.7434679334916865,0.16648936170212766
